,poisonous,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
962,0,x,others,n,t,n,f,c,b,n,t,b,s,s,g,p,w,o,p,k,v,d
963,0,x,others,n,t,n,f,c,b,n,t,b,s,s,p,g,w,o,p,n,y,d
964,0,f,s,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,k,s,g
965,0,f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,k,s,g
966,1,f,s,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,k,s,g
967,0,x,others,n,t,n,f,c,b,n,t,b,s,s,w,p,w,o,p,k,y,d
968,0,x,s,n,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,k,s,g
969,0,x,others,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,s,g
970,0,f,others,n,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,n,s,g
971,0,x,others,n,t,n,f,c,b,n,t,b,s,s,p,w,w,o,p,k,v,d
972,0,f,others,n,t,n,f,c,b,n,t,b,s,s,p,w,w,o,p,k,v,d
973,0,x,others,g,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,k,s,g
974,0,f,others,n,t,n,f,c,b,u,t,b,s,s,p,w,w,o,p,k,y,d
975,0,x,s,g,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,s,g
976,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
977,0,x,others,n,t,n,f,c,b,n,t,b,s,s,p,p,w,o,p,k,y,d
978,0,x,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
979,0,f,others,g,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,a,g
980,0,f,others,n,t,n,f,c,b,u,t,b,s,s,p,p,w,o,p,n,y,d
981,0,x,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
982,0,f,others,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,s,g
983,0,x,others,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,s,g
984,1,x,s,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,u
985,0,x,others,w,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,s,g
986,0,f,others,w,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,a,g
987,0,x,s,w,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,n,a,g
988,0,x,s,g,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,a,g
989,0,x,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,g
990,0,x,s,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,others
991,0,x,s,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,k,a,g
992,0,x,s,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,n,s,g
993,0,f,others,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u
994,0,f,s,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,s,g
995,0,f,s,w,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,k,a,g
996,0,x,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
997,0,f,s,w,t,a,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
998,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
999,1,f,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u
1000,0,x,others,g,t,n,f,c,b,n,t,b,s,s,p,p,w,o,p,k,y,d
1001,0,f,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,y,g
1002,0,f,s,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,s,g
1003,1,x,s,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,k,v,g
1004,0,x,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,y,g
1005,0,x,s,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,n,a,g
1006,0,x,s,w,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,a,g
1007,0,f,others,w,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,n,s,g
1008,0,x,others,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,a,g
1009,0,x,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
1010,0,x,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,s,others
1011,0,x,s,w,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,s,g
1012,0,f,y,y,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,n,s,p
1013,0,f,s,n,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,k,s,g
1014,0,f,others,g,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,k,s,g
1015,0,f,others,y,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
1016,0,f,y,n,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,g
1017,0,x,others,n,t,n,f,c,b,p,t,b,s,s,p,w,w,o,p,n,y,d
1018,1,f,s,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,g
1019,0,x,others,n,t,n,f,c,b,n,t,b,s,s,w,p,w,o,p,k,v,d
1020,0,f,others,n,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,a,g
1021,0,others,s,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
1022,0,others,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,g
1023,0,x,y,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,others
1024,1,f,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u
1025,1,f,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,s,g
1026,0,x,others,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,u
1027,0,f,s,y,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,others,v,d
1028,0,x,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,others
1029,0,x,s,w,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,a,g
1030,0,x,others,g,t,n,f,c,b,u,t,b,s,s,g,g,w,o,p,n,y,d
1031,1,x,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,g
1032,0,x,others,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,n,s,g
1033,0,f,others,n,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,n,s,g
1034,0,x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,n,s,g
1035,0,f,others,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,a,g
1036,0,x,y,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
1037,0,f,others,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
1038,0,x,others,g,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,k,y,u
1039,1,x,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,s,u
1040,0,x,y,y,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,y,p
1041,0,f,y,n,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,s,p
1042,0,x,others,w,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,a,g
1043,0,x,y,n,t,n,f,c,b,u,t,b,s,s,g,g,w,o,p,n,v,d
1044,0,x,s,g,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,n,a,g
1045,0,x,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
1046,0,x,others,g,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,s,g
1047,1,f,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,s,u
1048,0,x,others,n,t,n,f,c,b,p,t,b,s,s,g,w,w,o,p,k,v,d
1049,0,x,others,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,k,a,g
1050,0,x,others,e,t,n,f,c,b,w,t,b,s,s,w,w,w,o,p,k,v,d
1051,0,x,others,n,t,n,f,c,b,u,t,b,s,s,g,g,w,o,p,k,y,d
1052,0,x,others,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,n,a,g
1053,0,x,y,y,t,l,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,p
1054,0,x,others,n,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,s,g
1055,0,others,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
1056,0,x,others,w,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
1057,0,f,s,g,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,s,g
1058,0,x,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
1059,0,x,others,n,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,s,g
1060,0,f,s,w,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,a,g
1061,0,x,s,y,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
1062,0,x,s,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,s,g
1063,0,x,others,g,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,s,g
1064,1,f,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,u
1065,0,f,others,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
1066,0,x,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,g
1067,0,f,others,w,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,n,a,g
1068,0,x,others,n,t,n,f,c,b,u,t,b,s,s,g,g,w,o,p,k,v,d
1069,0,x,y,n,t,l,f,c,b,n,e,others,s,others,w,w,w,o,p,n,s,g
1070,0,x,s,w,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,a,g
1071,1,f,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,g
1072,0,x,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,g
1073,0,x,others,g,t,n,f,c,b,p,t,b,s,s,p,w,w,o,p,k,y,d
1074,0,f,y,y,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
1075,0,f,s,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,a,g
1076,0,f,others,n,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,y,u
1077,1,f,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g
1078,0,f,others,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,s,g
1079,0,x,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
1080,0,f,others,w,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,a,g
1081,1,f,y,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
1082,0,others,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,n,others
1083,0,f,others,g,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,k,s,g
1084,0,others,s,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
1085,0,f,others,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,n,s,g
1086,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
1087,0,x,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,others
1088,1,f,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,g
1089,0,x,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,k,s,g
1090,0,others,others,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,k,y,u
1091,0,x,y,n,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,g
1092,0,f,others,g,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,n,a,g
1093,0,f,others,y,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,others,v,d
1094,0,x,s,g,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,n,a,g
1095,1,f,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u
1096,0,x,others,g,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g
1097,0,x,s,g,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,a,g
1098,0,x,others,g,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,s,g
1099,1,x,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,s,g
1100,0,x,others,n,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,a,g
1101,0,f,s,w,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,s,g
1102,0,x,others,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,s,g
1103,1,x,y,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,g
1104,0,f,others,n,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,n,a,g
1105,0,f,s,w,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,a,g
1106,1,x,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,u
1107,0,f,others,g,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,a,g
1108,0,others,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
1109,0,x,s,n,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,n,a,g
1110,0,f,others,n,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,a,g
1111,1,f,s,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,g
1112,0,x,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,n,s,g
1113,0,f,others,w,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,a,g
1114,0,f,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,g
1115,0,f,others,g,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,s,g
1116,0,f,others,g,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,s,g
1117,0,f,s,g,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,n,s,g
1118,0,f,others,n,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,s,g
1119,0,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,s,g
1120,0,x,others,w,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,s,g
1121,0,f,others,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,a,g
1122,0,x,s,n,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,n,s,g
1123,0,x,others,n,t,n,f,c,b,p,t,b,s,s,p,p,w,o,p,k,v,d
1124,0,f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,others,v,d
1125,0,x,others,w,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,s,g
1126,0,f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g
1127,0,others,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
1128,0,x,others,w,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,a,g
1129,0,x,others,g,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,a,g
1130,1,f,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
1131,0,x,others,g,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,a,g
1132,1,x,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,s,g
1133,0,f,s,w,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,s,g
1134,0,x,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,g
1135,0,x,others,n,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,s,g
1136,0,x,others,n,t,n,f,c,b,n,t,b,s,s,w,p,w,o,p,n,y,d
1137,0,others,y,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
1138,0,f,others,w,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g
1139,0,x,s,n,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,n,a,g
1140,0,f,others,w,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
1141,0,x,others,n,t,n,f,c,b,p,t,b,s,s,w,p,w,o,p,n,v,d
1142,0,f,others,w,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,s,g
1143,0,x,s,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,k,a,g
1144,0,x,s,n,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,a,g
1145,0,x,others,w,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,n,s,g
1146,0,f,s,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,s,g
1147,0,x,others,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
1148,0,x,others,g,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,k,a,g
1149,0,f,s,n,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,a,g
1150,0,f,s,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,a,g
1151,0,f,y,n,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,p
1152,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,g
1153,0,f,s,g,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,a,g
1154,1,x,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,v,g
1155,0,others,y,w,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,others
1156,0,x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,k,s,g
1157,0,f,others,g,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,k,a,g
1158,0,f,others,w,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,n,s,g
1159,0,f,s,g,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,k,s,g
1160,0,others,y,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
1161,0,x,others,g,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,s,g
1162,0,x,others,e,t,n,f,c,b,p,t,b,s,s,w,w,w,o,p,n,v,d
1163,0,x,y,y,t,a,f,c,b,p,e,others,s,others,w,w,w,o,p,k,s,p
1164,0,x,s,w,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,k,s,g
1165,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
1166,1,x,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,g
1167,0,x,others,n,t,n,f,c,b,p,t,b,s,s,p,p,w,o,p,k,y,d
1168,0,f,s,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,k,s,g
1169,0,others,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
1170,0,x,s,g,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,s,g
1171,0,x,others,n,t,n,f,c,b,u,t,b,s,s,p,g,w,o,p,k,v,d
1172,0,f,others,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,n,a,g
1173,0,x,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u
1174,0,x,others,g,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,v,u
1175,0,x,others,g,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,k,y,u
1176,0,others,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
1177,0,f,others,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,n,v,u
1178,0,x,others,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,a,g
1179,0,f,y,n,t,a,f,c,b,w,e,others,s,others,w,w,w,o,p,k,s,p
1180,0,x,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,k,y,p
1181,0,x,y,y,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,k,y,g
1182,0,f,others,g,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,n,a,g
1183,0,x,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
1184,0,x,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,g
1185,0,f,s,w,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,n,a,g
1186,0,f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,a,g
1187,1,f,s,n,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u
1188,0,x,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
1189,0,x,others,n,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,n,s,g
1190,0,x,others,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,k,s,g
1191,0,x,s,y,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,others
1192,0,x,others,e,t,n,f,c,b,p,t,b,s,s,g,p,w,o,p,n,v,d
1193,0,f,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,s,p
1194,0,others,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,g
1195,1,x,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,g
1196,0,x,others,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,s,g
1197,0,others,y,w,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
1198,0,x,s,w,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
1199,0,others,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
1200,0,x,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,g
1201,0,x,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
1202,0,others,s,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,k,n,g
1203,0,f,s,n,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,s,g
1204,1,f,s,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,s,g
1205,0,f,s,n,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g
1206,0,f,others,n,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,k,a,g
1207,1,f,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,s,u
1208,0,f,s,w,f,n,f,w,b,h,t,e,others,s,w,w,w,o,e,k,a,g
1209,0,x,others,w,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,n,s,g
1210,0,x,s,n,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,k,a,g
1211,0,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g
1212,0,f,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,y,g
1213,0,x,others,g,f,n,f,w,b,n,t,e,others,others,w,w,w,o,e,k,a,g
1214,0,x,others,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,k,a,g
1215,1,f,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,g
1216,0,x,s,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,n,a,g
1217,0,f,others,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,s,g
1218,0,f,others,w,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,n,a,g
1219,0,f,others,w,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,s,g
1220,0,x,y,y,t,a,f,c,b,n,e,others,s,others,w,w,w,o,p,k,s,g
1221,0,x,s,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,s,g
1222,0,x,others,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,a,g
1223,0,f,others,n,f,n,f,w,b,h,t,e,others,others,w,w,w,o,e,k,s,g
1224,0,f,s,n,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,a,g
1225,0,x,others,w,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,s,g
1226,0,x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,w,o,p,n,v,d
1227,0,x,others,n,f,n,f,w,b,p,t,e,s,s,w,w,w,o,e,k,a,g
1228,1,x,s,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g
1229,0,x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,w,o,p,k,y,d
1230,0,x,others,n,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,n,s,g
1231,1,f,y,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,g
1232,0,f,others,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,k,a,g
1233,0,x,others,w,f,n,f,w,b,p,t,e,others,others,w,w,w,o,e,n,a,g
1234,0,f,s,n,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,k,a,g
1235,0,f,others,g,f,n,f,w,b,p,t,e,s,others,w,w,w,o,e,k,a,g
1236,0,f,s,g,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,k,a,g
1237,0,f,others,g,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,s,g
1238,0,x,s,g,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,n,s,g
1239,0,x,s,n,f,n,f,w,b,h,t,e,s,others,w,w,w,o,e,k,s,g
1240,1,f,s,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,u
1241,0,x,s,g,f,n,f,w,b,others,t,e,others,others,w,w,w,o,e,n,a,g
1242,1,x,s,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,s,g
1243,1,f,s,w,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,u
1244,0,f,s,n,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,s,g
1245,0,x,others,g,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,a,g
1246,0,f,s,g,f,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,a,g
1247,0,x,s,g,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,k,a,g
1248,0,f,others,g,f,n,f,w,b,n,t,e,others,s,w,w,w,o,e,k,a,g
1249,0,f,others,g,f,n,f,w,b,others,t,e,others,s,w,w,w,o,e,n,a,g
1250,0,x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,w,o,p,n,y,d
1251,0,x,others,n,t,n,f,c,b,n,t,b,s,s,w,w,w,o,p,n,v,d
1252,0,f,s,w,f,n,f,w,b,others,t,e,s,others,w,w,w,o,e,n,a,g
1253,1,f,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,g
1254,1,f,y,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,s,g
1255,0,x,s,w,f,n,f,w,b,p,t,e,others,s,w,w,w,o,e,n,a,g
1256,1,f,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,s,g
